status,universal_id,internal_id,internal_name,internal_team,hkb_id,hkb_name,hkb_team,notes
MATCHED,0000458,7590,Justin Verlander,DET,_C8WXdWF,Justin Verlander,DET,Existing registry mapping
MATCHED,0000453,12175,Kyle Harrison,MIL,KNxFbrU3,Kyle Harrison,MIL,Existing registry mapping
MATCHED,0000459,66397,Wei-En Lin,ATH,m49V83ap,Wei-En Lin,ATH,Existing registry mapping
MATCHED,0000460,65728,Kyson Witherspoon,BOS,KgQIF9lD,Kyson Witherspoon,BOS,Existing registry mapping
MATCHED,0000461,65886,Gage Wood,PHI,CVOLqaMm,Gage Wood,PHI,Existing registry mapping
MATCHED,0000462,9097,Gary Sanchez,MIL,qSMeCZq_,Gary Sánchez,MIL,Existing registry mapping
MATCHED,0000463,10621,Vladimir Guerrero Jr.,TOR,8gfkm-Am,Vladimir Guerrero Jr.,TOR,Existing registry mapping
MATCHED,0000464,10752,Ildemaro Vargas,AZ,BRXntOfx,Ildemaro Vargas,AZ,Existing registry mapping
MATCHED,0000465,66491,Kazuma Okamoto,TOR,sk238nTq,Kazuma Okamoto,TOR,Existing registry mapping
MATCHED,0000467,10594,Edmundo Sosa,PHI,RVGZjf4s,Edmundo Sosa,PHI,Existing registry mapping
MATCHED,0000468,10499,Brandon Marsh,PHI,Nbnu2zJL,Brandon Marsh,PHI,Existing registry mapping
MATCHED,0000469,9876,Brandon Nimmo,TEX,vkO-Brh0,Brandon Nimmo,TEX,Existing registry mapping
MATCHED,0000470,9846,Christian Walker,HOU,sqs8wuy4,Christian Walker,HOU,Existing registry mapping
MATCHED,0000471,61782,Tristan Gray,MIN,wDFTqI4t,Tristan Gray,MIN,Existing registry mapping
MATCHED,0000472,10395,Carson Kelly,CHC,AlkcNSyb,Carson Kelly,CHC,Existing registry mapping
MATCHED,0000473,64858,Hyeseong Kim,LAD,hadITiRk,Hyeseong Kim,LAD,Existing registry mapping
MATCHED,0000474,60294,Spencer Jones,NYY,OKyuCFbD,Spencer Jones,NYY,Existing registry mapping
MATCHED,0000475,9228,Jorge Soler,LAA,dJRHgAJW,Jorge Soler,LAA,Existing registry mapping
MATCHED,0000466,11768,Jeremy Pena,HOU,MzWE5LVi,Jeremy Peña,HOU,Existing registry mapping
MATCHED,0000476,60147,Jordan Beck,COL,laAVLOfZ,Jordan Beck,COL,Existing registry mapping
MATCHED,0000477,12499,Brandon Lockridge,MIL,C0AJBTi7,Brandon Lockridge,MIL,Existing registry mapping
MATCHED,0000478,10826,Austin Hays,CWS,YIcLpqTD,Austin Hays,CWS,Existing registry mapping
MATCHED,0000479,10765,Luis Robert Jr.,NYM,zEILZWOT,Luis Robert Jr.,NYM,Existing registry mapping
MATCHED,0000480,60057,Deyvison De Los Santos,MIA,bfBYCNeb,Deyvison De Los Santos,MIA,Existing registry mapping
MATCHED,0000481,64391,Kyle DeBarge,MIN,VLO9nymU,Kyle DeBarge,MIN,Existing registry mapping
MATCHED,0000482,64359,PJ Morlando,MIA,nvLN2dmU,PJ Morlando,MIA,Existing registry mapping
